,bullishHorn,bearHorn,bullishHigh,bearHigh,bullishLow,bearLow,bullishHarami,bearHarami,is_EMA8_above_EMA24,is_EMA8_above_EMA48,is_EMA24_above_EMA48,is_price_above_EMA8,is_price_above_EMA24,is_price_above_EMA48,%Distance_price_EMA8,%Distance_price_EMA24,%Distance_price_EMA48,Dif_price_EMA8,Dif_price_EMA24,Dif_price_EMA48,target
2595,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5207405962001659,6.203254966682634,10.496303769059775,-0.311006762163867,-1.331960453261047,-2.361863999039933,0
2596,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1862283685667418,4.179653671659073,8.564415552623043,0.038105851650325206,-0.8942036170001657,-1.9201552643852438,0
2597,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9027306186504427,2.993004754391958,7.3823217768166405,0.18519344017247263,-0.6386673276401531,-1.649944845430742,1
2598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.3503679238118549,5.10428758417911,9.436237918856822,-0.27596065764362976,-1.0843739414289395,-2.1005593415356074,1
2599,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.360109420863545,6.201598342253333,10.563379444849241,-0.4790805115006016,-1.3104240261146245,-2.3409446745341533,0
2600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3105852889620992,6.261851559272423,10.700111838546515,-0.46595150894491155,-1.315990104025456,-2.3604979531245966,1
2601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8348871638077189,4.68551164167452,9.21235304967517,-0.16796228473493002,-0.980710895703421,-2.024355179527671,1
2602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.1313701588677043,6.012212085443412,10.54212482622269,-0.4261928881271686,-1.251854024047148,-2.3062182334244987,1
2603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.808074911942086,6.853179270703861,11.43877597175512,-0.5570389129877995,-1.418505702123376,-2.4902501422643155,1
2604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1931356683584795,7.464251697213691,12.135720134545243,-0.6276969323238433,-1.5350252459535092,-2.628403197682097,0
2605,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.580636623245671,5.867969968457706,10.67001326073358,-0.309319836251877,-1.20062322627723,-2.300509189613436,1
2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6402176982945806,7.014816814751665,11.851047027960666,-0.5128043170847967,-1.4265733681750525,-2.5423251410577876,0
2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7822198768936786,6.169886138540853,11.106589571615428,-0.3444033577326202,-1.24804749872105,-2.371413910810528,1
2608,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.801681021289269,8.420912242162721,13.37949901670728,-0.7267581671253716,-1.6910036988233657,-2.8405398736345866,1
2609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.269574151227469,9.241154968990491,14.32069985761028,-0.8063674633197344,-1.8409234029175003,-3.0219464094046025,0
2610,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.320651990780003,9.64426962931975,14.875206659354841,-0.8060635825820128,-1.9052495306840989,-3.119213902898288,1
2611,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2492298043812964,7.666105977750012,13.10569229120115,-0.4169383420082333,-1.504429568229373,-2.73291945788203,1
2612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504087362546171,6.811644387280056,12.359443040996915,-0.27761871045084874,-1.3288752027710231,-2.56382070449909,0
2613,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.3532165696590108,3.447535740570969,9.115830998488459,0.25074100298267155,-0.6705651865493429,-1.8836647573766783,1
2614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0808595773552914,4.466093839444352,10.039775279419631,-0.014979219902368612,-0.865319971625393,-2.065760073402121,0
2615,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4403786511284038,3.549933854938517,9.105729008136095,0.08168282896482282,-0.685694373895366,-1.8663412948959142,0
2616,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5513095783354218,3.0357836332149315,8.53093445453117,0.10241997808375203,-0.5848388239837341,-1.7422049155124064,0
2617,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9703627293320232,2.1762111905864097,7.596630961963746,0.1807710940651397,-0.418451718065036,-1.546400633246595,1
2618,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.16385893316401273,3.062856949067741,8.352777404280758,-0.030511371282667454,-0.5873755806198346,-1.6943026482161194,0
2619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.2176862339489074,4.079552289484556,9.27779419453805,-0.22595328877540766,-0.779585534170252,-1.8745351931868903,1
2620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5829452862640745,4.492823041856444,9.650684066402476,-0.2924081134919838,-0.8552186914366295,-1.9419011036690534,1
2621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1931283100484047,4.099628561785117,9.24534031768779,-0.21965075493820763,-0.7776011961217009,-1.8530479973968461,0
2622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5062361200362832,3.2960405207129693,8.419474938672472,-0.09306169828527544,-0.6233931004319686,-1.68149501791126,0
2623,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.924074707820842,0.8098515443807538,4.28945501102184,0.542063123555895,0.15327834760258696,-0.8551074661597795,1
2624,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1.6372454746305536,0.015935342932064413,4.8460775374067895,0.30493798498791946,0.0030160797943814543,-0.9640826716226414,1
2625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7325846210715755,2.3232001026516405,6.983265484007526,-0.1361593450093963,-0.43882520658916846,-1.3851405217604906,1
2626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.243746500599897,2.924056859989228,7.49579227016621,-0.23034615722952978,-0.5509191900620358,-1.4820735616886331,0
2627,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0035610086745788,0.3952633181846486,4.920054870834186,0.18639743326592395,-0.07444565485707244,-0.9707644367217476,0
2628,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9871326878256732,0.11942128983241454,4.484710521544558,0.18386467031793785,-0.022490002468508408,-0.8831822148147381,1
2629,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06738981001749418,1.087930726165962,5.287659653655686,-0.012549700863825564,-0.20469080227102765,-1.0389706958427034,0
2630,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.0719576275805964,0.31925999768196467,3.7598112575137215,0.20023912155035717,0.060084461910651754,-0.7375841368287119,1
2631,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.7073997932268666,0.14704723744472956,3.759035115098507,0.1324082056502789,0.027677704957802973,-0.736254172060189,1
2632,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.6735610098886349,0.2818487677426181,3.46378618639255,0.12631749328354758,0.053063488561175376,-0.6774274711597741,1
2633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6403850068457388,2.2862754471359366,5.887432489409446,-0.3061975052239063,-0.4295815905237177,-1.1485528805001906,1
2634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.206366302516072,3.189387023180464,6.748132714408074,-0.409264726285258,-0.5976150632818182,-1.312693579255285,1
2635,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.658573190008915,4.028478819968441,7.581869252634531,-0.4894281204440887,-0.7522058582192699,-1.470134657653027,0
2636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4205774847333341,1.7874016491386793,5.355344688513453,-0.07733298256762566,-0.3332293895617333,-1.036047528769231,1
2637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11565576904807907,1.3993718982059327,4.899049285783006,-0.021258986441488048,-0.2605710383967974,-0.9458006908602812,0
2638,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5987405465994391,1.8833942678324287,5.30725144446767,-0.10986810056560259,-0.35012535532505495,-1.0222986218455752,1
2639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1049546898877036,2.480390654131668,5.8521046199539715,-0.20211963377324693,-0.4601153268990501,-1.1244496985049395,1
2640,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4496690330504913,4.131780155908555,7.484038752990878,-0.4449819373791932,-0.7637061007471289,-1.4334517516271887,1
2641,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3213481298935195,1.9629606442271865,5.337745295291099,-0.05831928462825786,-0.36220961268735863,-1.020045557683222,0
2642,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.153719505918168,2.8600481589421283,6.190186487868529,-0.20869277693308774,-0.5264328436723709,-1.179839616553295,1
2643,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7754981795574967,5.960828606850327,9.295590768353085,-0.6756499376146223,-1.0915182161785815,-1.7647441220000957,0
2644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8729655738301103,5.408799252651407,8.848322177094294,-0.5099499514780383,-0.9857967588842982,-1.6735300762041732,1
2645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.3820873547254293,5.150493634845965,8.671186527741952,-0.4199610733718053,-0.9345330181735534,-1.6339982363591012,1
2646,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.479721850548588,11.132481244509348,14.720657329817929,-1.2910808348447365,-2.0005703767196703,-2.756692185895462,0
2647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.264746158805786,9.60470869639245,13.47961043675102,-0.8952850937681305,-1.711724746582096,-2.509888423205851,0
2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.143276566602036,8.904754055655122,13.000951956754635,-0.6963328507085471,-1.574786766855528,-2.407443997768876,0
2649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11112276197004,8.092861056841855,12.379778888702292,-0.5182588838844246,-1.4212038255070851,-2.280405467247693,1
2650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.005869141273117,9.248020067990812,13.67193227978604,-0.6597569096878839,-1.61110751946652,-2.5038583053192145,0
2651,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8021237675042111,4.139839242439875,8.799617731432559,0.13241129246497962,-0.7186189179091969,-1.605537558163327,0
2652,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0255744027537514,2.222952541854911,6.883427225831724,0.33631989413942875,-0.38512940447646216,-1.2522503108913519,0
2653,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9857099197298644,1.5693364917868444,6.143968601148222,0.33158213988622265,-0.2715190521183466,-1.1148115226917028,1
2654,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.1828330650036643,0.6997718191405776,5.1644412819750976,0.36678610880039386,-0.12099752794888019,-0.9350232972757162,1
2655,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.3683760966865013,1.0171370504128752,5.336591202221281,0.2308336401780835,-0.17571772571297117,-0.9640019382032357,0
2656,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.9752116997543476,0.12929813381136054,4.063802884719058,0.3350928312496215,0.0223396923440653,-0.7328181856235112,0
2657,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8465292343621473,0.6801670203936979,4.705200401955827,0.14396109097192422,-0.11744748304346331,-0.8467847902919416,0
2658,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.0187617014457295,0.9718077382653398,2.917844754299943,0.3453030707559428,0.16794831560001455,-0.5244670437494143,1
